feature,pvalue,padj,log2fc,statistic
ASV_31,0.4550576904986583,0.992259504193286,-2.2667847548930657,0.7470097251119056
ASV_20,0.4550576904986583,0.992259504193286,2.8479906949689875,-0.7470097251119056
ASV_28,0.46685427082272546,0.992259504193286,19.988153484896646,-0.7276068751089989
ASV_78,0.46685427082272546,0.992259504193286,0.9999995491580111,-0.7276068751089989
ASV_39,0.5032414197587344,0.992259504193286,-0.47306947015250966,0.669398325100279
ASV_41,0.5156951444529856,0.992259504193286,-0.669851246075273,0.6499954750973723
ASV_34,0.5219814481957432,0.992259504193286,0.7589913330029605,-0.640294050095919
ASV_32,0.5346712115320105,0.992259504193286,0.42884312044879264,-0.6208912000930124
ASV_64,0.5410739517318345,0.992259504193286,-0.7802184645959027,0.611189775091559
ASV_2,0.5605090914385145,0.992259504193286,0.9999994847520473,-0.5820855000871992
ASV_46,0.5936332729902281,0.992259504193286,0.4959572256285187,-0.5335783750799326
ASV_83,0.6003641276866312,0.992259504193286,-0.7198918029774468,0.5238769500784792
ASV_11,0.6071292777700221,0.992259504193286,-0.8073544926843144,0.5141755250770259
ASV_99,0.6139282580548475,0.992259504193286,0.43389636217672056,-0.5044741000755726
ASV_69,0.6139282580548475,0.992259504193286,-0.04654256716661054,0.5044741000755726
ASV_33,0.6207605946457113,0.992259504193286,0.12737925958474838,0.49477267507411926
ASV_90,0.6276258050283593,0.992259504193286,0.9999994695977041,-0.48507125007266594
ASV_92,0.6345233981643665,0.992259504193286,1.0285684167057296,-0.4753698250712126
ASV_19,0.6345233981643665,0.992259504193286,0.3953011872583959,-0.4753698250712126
ASV_38,0.6414528745894932,0.992259504193286,-0.35755188091142537,0.4656684000697593
ASV_89,0.6414528745894932,0.992259504193286,0.8845221467774322,-0.4656684000697593
ASV_85,0.648413726515686,0.992259504193286,-0.5849618328075585,0.45596697506830597
ASV_37,0.648413726515686,0.992259504193286,-0.6181290723557037,0.45596697506830597
ASV_4,0.6624274847372416,0.992259504193286,-0.35755188091142537,0.4365641250653993
ASV_60,0.6836702770203351,0.992259504193286,0.16349865499568167,-0.4074598500610394
ASV_56,0.6979738522659524,0.992259504193286,0.2872818417048338,-0.38805700005813276
ASV_61,0.6979738522659524,0.992259504193286,1.2157280285278549,-0.38805700005813276
ASV_26,0.6979738522659524,0.992259504193286,-0.4611337857191174,0.38805700005813276
ASV_80,0.7051664654616332,0.992259504193286,0.0347654076881547,-0.37835557505667944
ASV_87,0.7051664654616332,0.992259504193286,0.2662799831919161,-0.37835557505667944
ASV_68,0.7123855280840246,0.992259504193286,-1.3491490419538354,0.3686541500552261
ASV_44,0.7415144763294637,0.992259504193286,0.650057327662122,-0.3298484500494128
ASV_55,0.7488568792129928,0.992259504193286,0.6545031903820252,-0.3201470250479595
ASV_22,0.7562221220076069,0.992259504193286,-0.49239620522038857,0.3104456000465062
ASV_65,0.7562221220076069,0.992259504193286,-0.0816837783183713,-0.3104456000465062
ASV_58,0.7636095804436286,0.992259504193286,0.26303430564667657,0.3007441750450529
ASV_93,0.7636095804436286,0.992259504193286,0.6300500863855032,-0.3007441750450529
ASV_25,0.7636095804436286,0.992259504193286,0.7150227753366417,-0.3007441750450529
ASV_23,0.7784486169673078,0.992259504193286,-0.7162065299525903,0.28134132504214626
ASV_82,0.7784486169673078,0.992259504193286,0.6713767554864489,-0.28134132504214626
ASV_71,0.7858989168050492,0.992259504193286,0.38224746983543695,-0.27163990004069294
ASV_79,0.7933688761128004,0.992259504193286,-0.1793236374494756,-0.2619384750392396
ASV_86,0.7933688761128004,0.992259504193286,-2.5360469304851243,0.2619384750392396
ASV_15,0.8008578418954853,0.992259504193286,0.9999990983164446,-0.2522370500377863
ASV_91,0.8083651559145103,0.992259504193286,-0.5052349645000072,0.24253562503633297
ASV_70,0.8083651559145103,0.992259504193286,0.36256993626025674,-0.24253562503633297
ASV_3,0.8234321705298491,0.992259504193286,0.2006972803255888,-0.22313277503342632
ASV_1,0.8234321705298491,0.992259504193286,0.23132542994749322,-0.22313277503342632
ASV_10,0.8309905299998261,0.992259504193286,0.42380748498507037,-0.213431350031973
ASV_62,0.8385645558107997,0.992259504193286,-0.2282688368688574,-0.2037299250305197
ASV_88,0.8385645558107997,0.992259504193286,0.42884312044879264,-0.2037299250305197
ASV_16,0.8537568750199167,0.992259504193286,-0.0896371846291274,0.18432707502761306
ASV_84,0.8537568750199167,0.992259504193286,-0.12029417099187333,-0.18432707502761306
ASV_47,0.861373792455552,0.992259504193286,0.27417481826627005,0.17462565002615973
ASV_29,0.8690036246806359,0.992259504193286,-0.04508787191322086,-0.1649242250247064
ASV_51,0.876645674312776,0.992259504193286,1.2094527259207803,-0.1552228000232531
ASV_45,0.8842992405514215,0.992259504193286,0.7749331112756093,0.1455213750217998
ASV_7,0.8919636193705659,0.992259504193286,-0.23132542994749322,-0.13581995002034647
ASV_94,0.899638103712954,0.992259504193286,-0.8775156112480538,0.12611852501889315
ASV_5,0.9227150779556011,0.992259504193286,0.16046462752777724,0.09701425001453319
ASV_66,0.9304228600674964,0.992259504193286,0.7776068630416862,-0.08731282501307987
ASV_30,0.9304228600674964,0.992259504193286,-1.0339464532062064,0.08731282501307987
ASV_81,0.9304228600674964,0.992259504193286,-0.2980812425629231,0.08731282501307987
ASV_40,0.93813717383897,0.992259504193286,0.4988056277808643,-0.07761140001162654
ASV_97,0.93813717383897,0.992259504193286,0.28950652611578126,-0.07761140001162654
ASV_9,0.93813717383897,0.992259504193286,-0.8699388962499104,0.07761140001162654
ASV_75,0.9690453003117911,0.992259504193286,-0.2505433625149201,0.03880570000581327
ASV_59,0.9690453003117911,0.992259504193286,-0.27237218982692074,-0.03880570000581327
ASV_98,0.9690453003117911,0.992259504193286,0.8231210316509796,-0.03880570000581327
ASV_96,0.984519736863829,0.992259504193286,-0.12737925958474816,-0.019402850002906636
ASV_35,0.984519736863829,0.992259504193286,-0.09310936682131339,0.019402850002906636
ASV_72,0.992259504193286,0.992259504193286,0.09621523502049123,-0.009701425001453318
